CATAGORIES,FOOD PRODUCT,H.H. MEASUREMENTS               ,please enter,Enter here,serving size,PROTEIN gs.,FAT  gs.,carbs,Kcal,FIBRE gs.,CALCIUMmg,IRON mg.,
,Beet Root,,gms (raw wt),200,200,3.4,0.2,18,86,1.8,36.6,2.4,
,Bitter Gourd,,gms (raw wt),250,250,4,0.5,11,63,2,50,1.5,
,Bottle Gourd,,gms (raw wt),250,250,0.5,0.3,6,30,1.5,50,1.2,
,Brinjal,,gms (raw wt),250,250,3.5,0.8,10,60,3.3,45,1,
,Broccoli,1 spear = 151 g,gms (raw wt),200,200,5.3,1.3,11,53,,95.4,,
,Cabbage,1 cup chpd = 75 gms,No. of cups,1,75,1.4,0.1,3,20,0.8,29.3,0.6,
,Capsicum (large),1 large chpd= 80 g,No. of capsicum,1,80,1,0.2,3,19,0.8,8,0.5,
,Capsicum (medium),1 medium chpd = 60 g,No. of capsicum,1,60,0.8,0.2,3,14,0.6,6,0.3,
,Capsicum (small),1 small chpd= 45 g,No. of capsicum,1,45,0.6,0.1,2,11,0.5,4.5,0.3,
,Carrot,1 cup chopped=90 g,No. of cups,1,90,0.8,0.2,10,43,1.1,72,0.9,
,Cauliflower,1 cup chopped=95 g,No. of cups,1,95,2.5,0.4,4,29,1.1,31.4,1.2,
,Celery Leaves,1 tbsp=5 g,No. of tbsp,1,5,0.3,0,0,2,0.1,11.5,0.3,
,Colocasia(Arawi),,gms (raw wt),200,200,6,0.2,42,194,2,80,0.8,
,Coriander Leaves,1 tbsp = 4 g,No. of tbsp,1,4,0.1,0,0,2,0,7.4,0.1,
,Courgettes,,gms (raw wt),200,200,4,1,4,36,2,,,
,Cow Pea Leaves(Chowli),,gms (raw wt),200,200,6.8,1.4,8,76,2.4,580,40.2,
,Cucumber,1 no.=100 g,No. of cucumber,1,100,0.4,0.1,3,13,0.4,10,0.6,
,Fenugreek Leaves,,gms (raw wt),200,200,8.8,1.8,12,98,2.2,790,3.9,
,French Beans,1 cup chopped=80g,No. of cups,1,80,1.4,0.1,4,21,1.4,40,0.5,
,Garden Cress(Halim),,gms (raw wt),200,200,12,2,17,134,,720,57,
,Gherkins (pickled),,gms (raw wt),,0,0,0,0,0,,,,
,"Jackfruit, seeds",,gms (raw wt),200,200,13,1,52,266,3,100,3,
,Knol-Khol(Ganthgobhi),,gms (raw wt),200,200,2,0,8,42,3,40,3,
,Ladies Fingers,1 cup chopped = 160 gms,no. of cups,1,160,3,0.3,10,56,1.9,105.6,0.6,
,Lettuce,,gms (raw wt),200,200,4.2,0.6,5,42,1,100,4.8,
,Mint,,gms (raw wt),200,200,9.6,1.2,12,96,4,400,31.2,
,Mushroom,1 large = 16 gms,No. of mushrooms,7,112,3.5,0.9,5,48,0.4,6.7,1.7,
,Mustard Leaves,,gms (raw wt),200,200,8,1.2,6,68,1.6,310,32.6,
,"Olives (green, pickled, canned, or bottled)",,gms (raw wt),35,35,0,5,1,51,0,0,0,
,Onion (large),1 large = 110 gm (chopped),No. of onion,1,110,1.3,0.1,12,55,0.7,51.6,0.7,
,Onion (Medium),1 medium = 60 gm (chopped),No. of onion,1,60,0.7,0.1,7,30,0.4,28.1,0.4,
,Onion (Small),1 small = 40 gm (chopped),No. of onion,1,40,0.5,0,4,20,0.2,18.8,0.2,
,Papaya,1.5 cups = 175 gms,no. of cups,1.5,175,1,0,10,47,2,49,2,
,Parsley,,gms (raw wt),200,200,11.8,2,27,174,3.6,780,35.8,
,Parwar,,gms (raw wt),,0,0,0,0,0,0,0,0,
,"Plantain, green",,gms (raw wt),,0,0,0,0,0,0,0,0,
,Potato (large),1 large = 150 gm,No. of potato,1,150,2,0,34,146,1,15,1,
,Potato (Medium),1 medium = 100 gm,No. of potato,1,100,2,0,23,97,0,10,0,
,Potato (Small),1 small = 70 gm,No. of potato,1,70,1,0,16,68,0,7,0,
,"Pumpkin, fruit",,gms (raw wt),200,200,2.8,0.2,9,50,1.4,20,0.9,
,Radish White,,gms (raw wt),250,250,1.8,0.3,9,43,2,87.5,1,
,Ridge Gourd,,gms (raw wt),250,250,1.3,0.3,9,43,1.3,45,1,
,Spinach,1 bundle=100g,gms (raw wt),200,200,4,1.4,6,52,1.2,146,2.3,
,Tomato (large),1 large chpd= 90 g,No. of tomato,1,90,0.8,0.2,3,18,0.7,43.2,0.6,
,Tomato (medium),1 medium chpd = 60 g,No. of tomato,1,60,0.5,0.1,2,12,0.5,28.8,0.4,
,Tomato (small),1 small chopped =40 g,No. of tomato,1,40,0.4,0.1,1,8,0.3,19.2,0.3,
,"Tomato, green",,gms (raw wt),50,50,1,0,2,12,0,10,1,
NUTS & OILSEEDS,Almond,12 almonds = 16 gms,No. of almonds,12,16,3.3,9.4,2,105,0.3,36.7,0.8,
,Cashewnut,8 pcs =16 gms,No. of cashews,8,16,3.4,7.5,4,95,0.2,8,0.9,
,"Coconut, dry",,gms (raw wt),10,10,0.7,6.2,2,66,0.7,40,0.8,
,"Coconut, fresh",,gms (raw wt),10,10,0.5,4.2,1,44,0.4,1,0.2,
,"Coconut, milk",,gms (raw wt),10,10,0.3,4.1,1,43,,1.5,0.2,
,"Coconut, water",1 glass = 200 ml,No. of glass,1,200,2.8,0.2,9,48,,48,0.2,
,"Dates, dried",3 pcs =16 gms,no. of pcs,3,16,0,0,12,51,1,19,1,
,"Gingelly Seeds,(Sesame)",,gms (raw wt),10,10,1.8,4.3,3,56,0.3,145,0.9,
,Groundnut,25 pcs= 17 gm,gms (raw wt),17,17,4.3,6.8,4,96,0.5,15.3,0.4,
,"Groundnut, roasted",17gm,gms (raw wt),10,10,2.6,4,3,57,0.3,7.7,0.3,
,"Mustard, seeds",1 tsp = 3 g,gms (raw wt),10,10,2,4,2,54,0.2,49,0.8,
,Niger Seeds(KalaTeel),,gms (raw wt),10,10,2.4,3.9,2,52,1.1,30,5.7,
,Peanuts,,gms (raw wt),10,10,2.9,5,2,59,,8.6,0.2,
,Pine nuts (Chilgoza),,gms (raw wt),10,10,1.4,4.9,3,62,0.1,9.1,0.4,
,Pistachio nut,,gms (raw wt),16,16,3,9,3,100,0,22,1,
,"Pistachios, roasted",22 pcs = 16 gms,No. of pistachios,22,16.1,3.4,7.4,4,91,0.3,22.5,1.2,
,Piyal Seeds(Chironjee),,gms (raw wt),10,10,1.9,5.9,1,66,0.4,27.9,0.9,
,Walnut,1 whole walnut = 5 gms,No. of walnuts,3,15,2.3,9.7,2,103,0.4,15,0.4,
,Watermelon Seeds(kernal),,gms (raw wt),10,10,3.4,5.3,0,63,0.1,10,0.7,
CONDIMENTS & SPICES,Asafoetida,1 tsp=4g,gms (raw wt),10,10,0.4,0.1,7,30,0.4,69,3.9,
,Cardamom,,gms (raw wt),10,10,1,0.2,4,23,2,13,0.5,
,"Chillies, dry",1 tsp=3 g,No.of tsp,1,3,0.5,0.2,1,7,0.9,4.8,0.1,
,"Chillies, green",2 chillies = 5 g,No. of chillies,2,5,0.1,0,0,1,0.3,1.5,0.2,
,Chaat Masala,1/2 tsp = 2 g,no. of tsp,0.5,2,0.1,0.1,0,3,,7.2,0.3,
,"Cloves, dry",1/2 tsp = 15 cloves = 1 gm,no. of cloves,15,1,0.1,0.1,0,3,0.1,7.4,0.1,
,Coriander ,1 tsp=3 g,No. of tsp,1,3,0.4,0.5,1,9,1,18.9,0.2,
,Cumin Seeds,1 tsp=4g,No. of tsp,1,4,0.7,0.6,1,14,0.5,43.2,0.5,
,Fenugreek seeds,1 tsp = 5 gm,No. of tsp,1,5,1.3,0.3,2,17,0.4,8,0.3,
,Garam Masala,1/2 tsp=2 g,No. of tsp,1,4,0.4,0.4,2,13,,,,
,Garlic,2 flakes=5g,No .of flakes,2,5,0.3,0,1,7,0,1.5,0.1,
,"Ginger, fresh",1/2 tsp = 2 g,gms (raw wt),10,10,0.2,0.1,1,7,0.2,2,0.4,
,Mace,,gms (raw wt),10,10,0.7,2.4,5,44,0.4,18,1.2,
,Mango Powder,1 tsp = 2.5 gm,No. of tsp,1,2.5,0.1,0.2,2,8,0.3,4.5,1.1,
,"Nutmeg, fruit(Jaifal)",,gms (raw wt),10,10,0.8,3.6,3,47,1.2,12,0.2,
,Omum (ajwain),1 tsp = 2.5 gm,No. of tsp,1,2.5,0.4,0.5,1,9,0.5,38.1,0.3,
,Oregano,,,,,0,0,0,0,,,,
,"Pepper Dry,(black)",1 tsp=3 g,No. of tsp,1,3,0.3,0.2,1,9,0.4,13.8,0.4,
,Pippali (Peeplamul),,gms (raw wt),5,5,0.3,0.1,3,16,0.4,61.5,3.1,
,Poppy Seeds (Khaskhas),1 tsp = 4 gm,No. of tsp,1,4,0.9,0.8,1,16,0.3,63.4,0.6,
,Hot and sweet tomato chilli sauce,,,,,0,0,0,0,,,,
,Red chilli sauce,1 tbsp = 15  gms,No. of tbsp,1,15,0,0,6,24,,,,
,salsa sauce,1 tbsp = 10 gms,No. of tbsp,1,10,0.2,0,0,8,,,,
,Soya sauce,1 tbsp=13 gms,No. of tbsp,1,13,0.4,0,3,14,0,,,
,Tamarind Pulp,,gms (raw wt),10,10,0.3,0,7,28,0.6,17,1.7,
,Tomato ketchup,1 tbsp=15 gms,No. of tbsp,1,15,0.2,0,4,17,0.1,,,
,Tomato puree,1 tbsp=20g,No. of tbsp,1,20,1,0.1,3,15,0.6,,,
,Turmeric,1 tsp=3g,No. of tsp,1,3,0.2,0.2,2,10,0.1,4.5,2,
,Vinegar ,1 tbsp =13 gms,No. of tbsp,1,13,0.1,0,0,3,0,,,
,Worcestershire sauce,1 tbsp=15 gms,No. of tbsp,1,15,0.2,0,2,10,0,,,
FRUITS,Amla,1 amla = 36 gm,No. of amla,2,72,0.4,0.1,10,42,2.4,36,0.9,
,"Apple, medium",1 med apple = 85 gms,No. of apple,1,85,0.2,0.4,11,50,0.9,8.5,0.6,
,"Apricot, dry",,gms (raw wt),20,20,0.3,0.1,15,61,0.4,22,0.9,
,"Apricot, fresh",1 pc = 12 gms,No. of apricots,8,96,1,0.3,11,51,1.1,19.2,2.1,
,Avocado Pear,,gms (raw wt),30,30,0.6,6.9,0,65,0,3,0.3,
,"Banana, elaichi",1 elaichi banana = 35 gms,No. of banana,1,35,0.4,0.1,10,41,0.1,6,0.1,
,"Banana, ripe, large",1 large banana = 90gms,No. of banana,0.5,45,0.5,0.1,12,52,0.2,7.7,0.2,
,"Banana, ripe, medium",1 med banana = 65 gms,No. of banana,1,65,0.8,0.2,18,75,0.3,11.1,0.2,
,Cape Gooseberry,,gms (raw wt),100,100,2,0,11,53,3,10,2,
,"Cherries, red",,gms (raw wt),75,75,0.8,0.4,10,48,0.3,18,0.4,
,"Chickoo, large",1 big chickoo = 70 gms,No. of chickoo,1,70,0.5,0.8,15,69,1.8,19.6,0.9,
,"Dates, dried",1 date = 5.5 gms,No. of dates,3,16.5,0.4,0.1,13,52,0.6,19.8,1.2,
,"Figs, fresh (Anjeer)",1 anjeer (fresh) = 44 gm,no. of anjeer,2,88,1.1,0.2,7,33,1.9,70.4,0.9,
,Grapes(Angoor),1/2 cup = 93 gms,No. of cups,0.5,93,0.5,0.3,15,66,2.7,18.6,0.5,
,Guava,1 gauva = 120 gms,no. of gauvas,1,120,1.1,0.4,13,61,6.2,12,0.3,
,"Jambu Fruit,(Kala jamun)",,gms (raw wt),80,80,0.6,0.2,11,50,0.7,12,0.3,
,Lemon,1 tbsp juice=10g=1 lemon,No. of tbsp,1,10,0.1,0.1,1,6,,,,
,Litchi,1 litchi=12 gms pulp, whole=20 gms,No. of litchi,7,84,0.9,0.2,11,51,0.4,8.4,0.6
,"Mango , ripe",1 med mango = 70 gms,No. of mangoes,1,70,0.4,0.3,12,52,0.5,9.8,0.9,
,Mulberry,,gms (raw wt),100,100,1,0,10,49,1,70,2,
,"Muskmelon, cubed",3/4 th cup = 98 gms,No. of cups,2,262,0.8,0.5,9,45,1,83.8,3.7,
,Orange,1 med orange = 128 gm,No. of orange,1,128,0.2,0.3,14,61,0.4,33.3,0.4,
,"Palmyra fruit, tender",,gms (raw wt),100,100,1,0,7,29,0,10,1,
,"Papaya, ripe",3/4 th cup = 88 gms,no. of cups,0.25,29.3,0.2,0,2,9,0.2,5,0.1,
,Peaches,1 med peach whole = 100 gm,no. of peaches,1,100,1.2,0.3,11,50,1.2,15,2.4,
,Pears,1 med pear =150 gms,No. of pears,1,150,0.9,0.3,18,78,1.5,12,0.8,
,Phalsa,,gms (raw wt),100,100,1,1,15,72,1,129,3,
,Pine Apple,1 slice = 20 gms,No. of slices,5,100,0.4,0.1,11,46,0.5,20,2.4,
,Plum,1 med plum whole = 60 gms,no. of plums,2,120,0.8,0.6,13,62,0.5,12,0.7,
,Pomegranate,1/2 cup = 70 gms,No. of cups,0.5,70,1.1,0.1,10,46,3.6,7,1.3,
,Raisins,10 pcs = 5 gms,No. of raisins,30,15,0.3,0,11,46,,,,
,Raspberry,,gms (raw wt),100,100,1,1,12,56,1,40,20,
,Seethaphal(Custardapple),1 med = 75 gms deseeded,No. of custard apple,1,75,1.2,0.3,18,78,2.3,12.8,3.2,
,Strawberry,1 med strawberry =12 gms,No. of strawberries,9,108,0.8,0.2,11,48,1.2,32.4,1.9,
,Sweet lime (musambi),1 medium = 126 gms,No. of sweet lime,1,126,1,0.4,12,54,0.6,50.4,0.9,
,"Watermelon, cubed",1 cup = 75 gms,No. of cups,4,300,0.6,0.6,10,48,0.6,33,23.7,
FISHES & SEA FOOD,Air,,gms,80,80,12.8,0.8,3,71,0,304,0.8,
,Anchovy,,gms,80,80,15.4,7.7,0,131,0,114.4,1.2,
,"Bombay Duck, dried",,gms,80,80,49.4,3.2,2,234,0,1111.2,15.3,
,"Crab, muscle",,gms,80,80,7.1,0.9,3,47,0,1096,17,
,"Crab, small",,gms,80,80,9,7.8,7,135,0,1284.8,0,
,Hilsa,,gms,80,80,17.6,15.2,2,218,0,144,1.6,
,Lobster,,gms,80,80,16.4,0.7,0,72,0,12.8,0,
,Mackerel(Bangra),,gms,80,80,15.1,1.4,0,74,0,343.2,3.6,
,"Mushi , dried",,gms,80,80,53.6,3.9,0,250,0,432.8,2.2,
,"Pomfrets, black",,gms,80,80,16.2,2.1,1,89,0,228.8,1.8,
,"Pomfrets, white",,gms,80,80,13.6,1,0,70,0,160,0.7,
,Prawns,,gms,80,80,15.3,0.8,1,71,0,258.4,4.2,
,Ravas,,gms,80,80,17.8,0.9,3,90,0,324,1.6,
,Rohu,,gms,80,80,13.3,1.1,4,78,0,520,0.8,
,Sardine,,gms,80,80,16.8,1.5,0,81,0,72,2,
,Shark,,gms,80,80,17.3,0.3,1,74,0,285.6,1.1,
,"Shrimp (small,dried)",,gms,80,80,54.5,6.8,0,279,0,3507.2,0,
,"Surmai, fresh",,gms,80,80,15.9,1.1,0,74,0,73.6,1.6,
,"Surmai, dried",,gms,80,80,30.9,5,0,168,0,118.4,3.5,
,Tuna (canned),,gms,80,80,28.2,0.9,0,127,,16,0.6,
MEAT AND POULTRY,Bacon,1/2 tbsp=10g/3 slices=19g,gms,20,20,6.3,9.5,0,116,,2.1,0.3,
,"Beef, cooked",,gms,20,20,5.2,6.1,0,76,,2.6,,
,Chicken,,gms,40,40,7.3,6.9,,97,,,,
,"Egg, duck",,gms,30,30,,,,,,,,
,"Egg, hen",,gms,20,20,,,,,,,,
,Egg Whites,1 egg white = 33 gms,No. of egg white,1,1,3,0,0,15,,4,,
,Egg Yolk,1 egg yolk = 17 gms,No. of egg yolk,1,1,3,6,,65,,26,,
,Finch,,gms,50,50,13.3,1.5,0,67,0,45,0,
,Fowl(hen),,gms,50,50,13,0.3,0,55,0,12.5,0,
,Goat Meat (lean),,gms,50,50,10.7,1.8,0,59,0,6,0,
,Liver Goat,,gms,50,50,10,1.5,0,54,0,8.5,0,
,"Mutton, muscle",,gms,100,100,18.5,13.3,0,194,0,150,2.5,
,Pork,,gms,100,100,18.7,4.4,0,114,0,30,2.2,
DAIRY,Amul lite Slim n trim milk,99.7 % fat free,ml,100,100,3.5,0.2,5,35,,150,,
,Amul taaza toned milk (3 % fat),,ml,100,100,3.1,3,5,58,,150,,
,Britannia cheese spread low-fat ,,gm,15,15,2,1.8,1,29,,60,,
,Britannia - cheese slice,1 slice = 20 gms, no. of slice,1,1,3.4,5,1,62,,112.8,,
,Britannia - low fat cheese slice,1 slice = 20 gms, no. of slice,1,1,4,3,1,45,,3,,
,Brittania Cheese spread,1 tbsp = 20Gm,No. of tbsp,1,20,2.3,4.4,0,50,,,,
,Brittania Daily fresh dahi (3 % fat),,gms,100,100,3.1,3,6,64,,,,
,Cream cheese (laughin cow),,gms,15,15,1.3,5,1,51,,,,
,Cheese spread (amul),,gms,15,15,1.7,3,,41,,,,
,Curds(cow's milk),,ml,100,100,3.1,4,3,60,,149,0.2,
,Danone Dahi (3.5 % fat),,ml,100,100,3.5,3.5,6,68,,,,
,Double Toned Milk (1.5% fat),,ml,100,100,3.3,1.5,5,47,,120,,
,Everyday dairy whitener,1 tbsp=5 gms,no. of tbsp,1,5,1,1,3,23,,,,
,Feta,,gm,5,5,0.7,0.9,0,11,,,,
,Happy cow cheese (low fat 8%),in cubes (1 cube=17.5 g),No. of cubes,1,1,3.1,1.5,1,29,,110,,
,"Kraft cream cheese, low-fat",1 tbsp =15 Gm,No. of tbsp,1,15,1,2.9,1,34,,,,
,Milk buffalo's (6.5 % fat),,ml,100,100,,6.5,5,117,,210,0.2,
,Milk cow's (4 % fat),,ml,800,800,25.6,32.8,35,536,,960,1.6,
,Mozarella cheese,,gms,20,20,4.4,4.5,0,60,,,,
,"Nestle flavored yogurt, low-fat",,gms,100,100,3.5,1.5,16,90,,,,
,Nestle nesvita pro-heart milk,(2 % fat),ml,100,100,2.9,1.6,5,46,,,,
,Nestle Slim Dahi (1.5 % fat),,ml,100,100,4.1,1.5,6,54,,,,
,Nestle slim milk,(0.2 % fat),ml,100,100,2.8,0.2,5,33,,93,,
,Nestle toned milk (3 % fat),,ml,100,100,2.8,3,5,57,,,,
,Paneer (made from cows milk),,paneer in gms,100,100,18,21,1,265,,,,
,paneer (regular),,paneer in cups,0.25,0.3,16,20,22,335,,,,
,paneer (low-fat),,paneer in cups,0.25,0.3,16,0.5,22,165,,,,
,Parmesan cheese,,gms,15,15,6,6,0,75,,207,0,
,Silken tofu,,gms,100,100,7.1,2.4,2,54,,,,
,"Skimmed Milk,liquid",,ml,100,100,2.5,0.1,5,29,,120,0.2,
