CATAGORIES,FOOD PRODUCT,H.H. MEASUREMENTS               ,please enter,Enter here,serving size,PROTEIN gs.,FAT  gs.,carbs,Kcal,FIBRE gs.,CALCIUMmg,IRON mg.,
FISHES & SEA FOOD,"Surmai, fresh",,gms,80,80,15.9,1.1,0,74,0,73.6,1.6,
FISHES & SEA FOOD,"Surmai, dried",,gms,80,80,30.9,5,0,168,0,118.4,3.5,
FISHES & SEA FOOD,Tuna (canned),,gms,80,80,28.2,0.9,0,127,,16,0.6,
MEAT AND POULTRY,Bacon,1/2 tbsp=10g/3 slices=19g,gms,20,20,6.3,9.5,0,116,,2.1,0.3,
MEAT AND POULTRY,"Beef, cooked",,gms,20,20,5.2,6.1,0,76,,2.6,,
MEAT AND POULTRY,Chicken,,gms,40,40,7.3,6.9,,97,,,,
MEAT AND POULTRY,"Egg, duck",,gms,30,30,,,,,,,,
MEAT AND POULTRY,"Egg, hen",,gms,20,20,,,,,,,,
MEAT AND POULTRY,Egg Whites,1 egg white = 33 gms,No. of egg white,1,1,3,0,0,15,,4,,
MEAT AND POULTRY,Egg Yolk,1 egg yolk = 17 gms,No. of egg yolk,1,1,3,6,,65,,26,,
MEAT AND POULTRY,Finch,,gms,50,50,13.3,1.5,0,67,0,45,0,
MEAT AND POULTRY,Fowl(hen),,gms,50,50,13,0.3,0,55,0,12.5,0,
MEAT AND POULTRY,Goat Meat (lean),,gms,50,50,10.7,1.8,0,59,0,6,0,
MEAT AND POULTRY,Liver Goat,,gms,50,50,10,1.5,0,54,0,8.5,0,
MEAT AND POULTRY,"Mutton, muscle",,gms,100,100,18.5,13.3,0,194,0,150,2.5,
MEAT AND POULTRY,Pork,,gms,100,100,18.7,4.4,0,114,0,30,2.2,
DAIRY,Amul lite Slim n trim milk,99.7 % fat free,ml,100,100,3.5,0.2,5,35,,150,,
DAIRY,Amul taaza toned milk (3 % fat),,ml,100,100,3.1,3,5,58,,150,,
DAIRY,Britannia cheese spread low-fat ,,gm,15,15,2,1.8,1,29,,60,,
DAIRY,Britannia - cheese slice,1 slice = 20 gms, no. of slice,1,1,3.4,5,1,62,,112.8,,
DAIRY,Britannia - low fat cheese slice,1 slice = 20 gms, no. of slice,1,1,4,3,1,45,,3,,
DAIRY,Brittania Cheese spread,1 tbsp = 20Gm,No. of tbsp,1,20,2.3,4.4,0,50,,,,
DAIRY,Brittania Daily fresh dahi (3 % fat),,gms,100,100,3.1,3,6,64,,,,
DAIRY,Cream cheese (laughin cow),,gms,15,15,1.3,5,1,51,,,,
DAIRY,Cheese spread (amul),,gms,15,15,1.7,3,,41,,,,
DAIRY,Curds(cow's milk),,ml,100,100,3.1,4,3,60,,149,0.2,
DAIRY,Danone Dahi (3.5 % fat),,ml,100,100,3.5,3.5,6,68,,,,
DAIRY,Double Toned Milk (1.5% fat),,ml,100,100,3.3,1.5,5,47,,120,,
DAIRY,Everyday dairy whitener,1 tbsp=5 gms,no. of tbsp,1,5,1,1,3,23,,,,
DAIRY,Feta,,gm,5,5,0.7,0.9,0,11,,,,
DAIRY,Happy cow cheese (low fat 8%),in cubes (1 cube=17.5 g),No. of cubes,1,1,3.1,1.5,1,29,,110,,
DAIRY,"Kraft cream cheese, low-fat",1 tbsp =15 Gm,No. of tbsp,1,15,1,2.9,1,34,,,,
DAIRY,Milk buffalo's (6.5 % fat),,ml,100,100,,6.5,5,117,,210,0.2,
DAIRY,Milk cow's (4 % fat),,ml,800,800,25.6,32.8,35,536,,960,1.6,
DAIRY,Mozarella cheese,,gms,20,20,4.4,4.5,0,60,,,,
DAIRY,"Nestle flavored yogurt, low-fat",,gms,100,100,3.5,1.5,16,90,,,,
DAIRY,Nestle nesvita pro-heart milk,(2 % fat),ml,100,100,2.9,1.6,5,46,,,,
DAIRY,Nestle Slim Dahi (1.5 % fat),,ml,100,100,4.1,1.5,6,54,,,,
DAIRY,Nestle slim milk,(0.2 % fat),ml,100,100,2.8,0.2,5,33,,93,,
DAIRY,Nestle toned milk (3 % fat),,ml,100,100,2.8,3,5,57,,,,
DAIRY,Paneer (made from cows milk),,paneer in gms,100,100,18,21,1,265,,,,
DAIRY,paneer (regular),,paneer in cups,0.25,0.3,16,20,22,335,,,,
DAIRY,paneer (low-fat),,paneer in cups,0.25,0.3,16,0.5,22,165,,,,
DAIRY,Parmesan cheese,,gms,15,15,6,6,0,75,,207,0,
DAIRY,Silken tofu,,gms,100,100,7.1,2.4,2,54,,,,
DAIRY,"Skimmed Milk,liquid",,ml,100,100,2.5,0.1,5,29,,120,0.2,
DAIRY,Skimmed Milk Powder(Cow's milk),,gms,10,10,3.8,0.01,5.1,36,,137,0.14,
DAIRY,Skimmed milk/low fat milk/curd,(0.1 % fat),ml,100,100,2.5,0.1,5,29,,,,
DAIRY,soyafit soya milk/curd,,ml,100,100,3.2,1.6,2,35,1,,,
DAIRY,Tofu (Soya paneer),,gms,100,100,13.8,5,4,117,2.3,310,,
FATS & EDIBLE OILS,Amul butter,,no. of tspn,1,5,0,4,0,36,,,,
FATS & EDIBLE OILS,Amul lite bread spread,,gms,5,5,,3.5,0,32,,,,
FATS & EDIBLE OILS,Butter,1 tspn = 5 gms,no. of tspn,1,5,,4.1,,36,,,,
FATS & EDIBLE OILS,"Cooking Oil (Groundnut, Sunflower, Ricebran, safflower, Mustard, Coconut etc.)",1 tspn = 4 gms,no. of tspn,1,4,,4,,36,,,,
FATS & EDIBLE OILS,Ghee (Cow),1 tspn = 5 gms,no. of tspn,1,5,,5,,45,,,,
FATS & EDIBLE OILS,Honey,1 tspn = 6 gms,no. of tspn,1,6,0,,5,19,,0.3,0,
FATS & EDIBLE OILS,Jaggery ,,gms,5,5,0,0,5,19,,4,0.1,
FATS & EDIBLE OILS,Mayonnaise,1 tbsp=14 g,No. of tbsp,1,14,0,11,0,100,,3,0.1,
FATS & EDIBLE OILS,Mayonnaise fat-free,1 tbsp =10 gms,No. of tbsp,1,10,0,0.1,2,12,,,,
FATS & EDIBLE OILS,Olive oil,1 tspn = 4 gms,no. of tspn,1,4,0,4,0,35,,,,
FATS & EDIBLE OILS,Sago (sabudana),,gms,5,5,0,0,4,18,,0.5,0.1,
FATS & EDIBLE OILS,Sugar,in tspn (1tsp=5g),no. of tspn,1,1,0,0,5,20,,0,,
FATS & EDIBLE OILS,Sugarcane,,gms,50,50,0,,50,199,,6,0,
DESSERTS,Apple pie,1 slice,No. of slice,1,1,,,,280,,,,
DESSERTS,Brownie with icecream,1 serving,No. of serving,1,1,,,,960,,,,
DESSERTS,Cashewnut barfi,,No. of barfis,1,1,,11,,186,,,,
DESSERTS,Cheese cake,1 slice,No. of slice,1,1,,,,730,,,,
DESSERTS,"Chocochip icecream, Baskin robbins",1 scoop,No. of scoop,1,1,,,,270,,,,
DESSERTS,Chocolate icecream,,scoops,1,1,,15,,306,,,,
DESSERTS,Chocolate mousse,,cups,1,1,,29.3,,559,,,,
DESSERTS,Chocolate pastry,,No. of pcs,1,1,,15,,310,,,,
DESSERTS,"Donut, choco frosted",1,No. of donuts,1,1,,,,204,,,,
DESSERTS,"Frozen Yogurt, low-fat (180 gms)",1 cup,No. of cups,1,1,6,3.6,45,234,,,,
DESSERTS,Gulab Jamun,,No. of gulabjamuns,1,1,,7,,152,,,,
DESSERTS,Haldirams Rasgulla,1 small = 25 gm,No. of rasgullas,2,50,4.3,2,26,125,0.4,350,,
DESSERTS,Muffin,1,No.of muffins,1,1,,,,450,,,,
DESSERTS,Oreo McFlurry (Mc Donald's),1 serving,No. of srvgs,1,1,14,16,88,560,,,,
DESSERTS,Rasgulla,1 medium,No. of rasgullas,1,1,,,,152,,,,
DESSERTS,"TGI Friday""s Brownie Sundae",1 serving,No. of srvgs,1,1,9,55,48,960,,,,
CHIPS/CRISPS,Baked potato chips (selfcare),one serving -25 g,No. of serving,1,1,2.6,0.4,19,90,,,,
CHIPS/CRISPS,Lay's baked classic salted,"1 chip=1 gm, 1 small pack=31 gm",No. of chips,27,27,2,4.2,20,124,,,,
CHIPS/CRISPS,Lay's classic salted,"1 chip=1 gm, 1 small pack = 27 gm",No. of chips,27,27,1.9,9.6,14,150,,,,
CHIPS/CRISPS,Pepe,1 chip=1 gm,No. of chips,2,2,0.2,0.6,1,11,,,,
CHIPS/CRISPS,Peppy,"1 chip =  0.5 Gm, 1 small pack = 23 gm",No. of chips,27,13.5,1.1,3.6,8,68,1,,,
CHIPS/CRISPS,"Popcorn, salted",1 cup = 8 gms,No. of cups,2,16,0.8,4.5,10,83,,,,
CHIPS/CRISPS,Pringles Original,1 chip=2 gm,No. of chips,14,28,1,11,14,160,,,,
CHOCOLATES,5- Star,1 bar = 32 gm,No. of bars,1,32,1.2,5.1,23,141,,,,
CHOCOLATES,Dairy Milk ,1 bar=95 gm,No. of bars,1,95,7.5,26.5,57,495,,,,
CHOCOLATES,Dairy Milk fruit n nut,1 bar=80 gm,No. of bars,1,80,7,21.5,45,402,,,,
CHOCOLATES,Granola bar (Nature valley),1 bar = 30 gm,No. of bars,1,30,1.4,1.5,26,123,1.9,,,
CHOCOLATES,Kit-Kat (2 fingers),1 bar=2 fingers=16.5 gm,No. of bars,1,16.5,1.1,4.1,8,73,,,,
CHOCOLATES,Mars,1 bar=50 gm,No. of bars,1,50,1.9,8.8,35,226,,,,
CHOCOLATES,Perk( 1 small 5 rs),1 bar=16 gm,No. of bars,1,16,1,4,10,80,,,,
CHOCOLATES,Snickers,1 bar=32 gm,No. of bars,1,32,2.9,8.9,18,163,,,,
CHOCOLATES,Twix,1 bar = 58 gm (2 fingers),No. of bars,1,58,2.8,14,37,285,0.9,,,
BEVERAGES (Milk),Boost,1 tbsp = 10 gm,No. of tbsp,1,10,0.8,0.4,8,39,,,,
BEVERAGES (Milk),Bournvita,1 tbsp = 10 gm,No. of tbsp,1,10,0.7,0.2,8,38,,10,1.8,
BEVERAGES (Milk),Complan,1 tbsp = 10 gm,No. of tbsp,1,10,1.8,1.1,6,42,,80,1.4,
BEVERAGES (Milk),Horlicks,1 tbsp = 10 gm,No. of tbsp,1,10,,,,39,,74.1,2.6,
BEVERAGES (Milk),Horlicks Lite,1 tbsp = 10 gm,No. of tbsp,1,10,,,,35,,,,
BEVERAGES (Milk),Proteinix,1 tbsp = 10 gm,No. of tbsp,1,10,3.2,,,30,,,,
BEVERAGES (Milk),Women's Horlicks,1 tbsp = 10 gm,No. of tbsp,1,10,,0.2,7,36,,,,
ALCOHOL,Beer ,1 Bottle = 300 gm,No. of bottle,1,1,,,,150,,,,
ALCOHOL,Gin,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
ALCOHOL,Kingfisher light beer,1 Bottle = 330 ml,No. of bottle,1,1,,,,99,,,,
ALCOHOL,Kingfisher Premium beer,1 Bottle = 330 ml,No. of bottle,1,1,,,,180,,,,
ALCOHOL,Kingfisher strong beer,1 Bottle = 330 ml,No. of bottle,1,1,,,,216,,,,
ALCOHOL,Light,,No. of bottle,1,1,,,,83,,,,
ALCOHOL,Near Beer,,No. of bottle,1,1,,,,50,,,,
ALCOHOL,Red wine or Rose,,ml,100,100,,,,71,,,,
ALCOHOL,Regular ,,No. of bottle,1,1,,,,125,,,,
ALCOHOL,Rum,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
ALCOHOL,Scotch,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
ALCOHOL,Sprakling wine- champagne,,ml,100,100,,,,83,,,,
ALCOHOL,Vodka,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
ALCOHOL,Whiskey,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
ALCOHOL,White wine,,ml,100,100,,,,67,,,,
ALCOHOL,Wine (average),,ml,100,100,,,,88,,,,
COCKTAILS,Bloody Mary,1 drink = 150 ml,No. of drinks,1,1,,,,116,,,,
COCKTAILS,Cosmopolitan,1 drink = 90 ml,No. of drinks,1,1,,,,196,,,,
COCKTAILS,Daiquiri,1 drink = 60 ml,No. of drinks,1,1,,,,111,,,,
COCKTAILS,Dry Barandy- cognac,1 drink = 150 ml,No. of drinks,1,1,,,,375,,,,
COCKTAILS,Long island Iced Tea,1 drink = 240 ml,No. of drinks,1,1,,,,440,,,,
COCKTAILS,Margarita/Caprioska,1 drink = 150 ml,No. of drinks,1,1,,,,310,,,,
COCKTAILS,Martini,1 drink = 150 ml,No. of drinks,1,1,,,,312,,,,
COCKTAILS,Mojito,1 drink = 150 ml,No. of drinks,1,1,,,,102,,,,
COCKTAILS,Triple sec,Alcohol=8.5 gm in 30 ml,ml,60,60,0,0,22,206,,,,
SOFT DRINKS,Coke ,1 Bottle = 300 ml,No. of bottles,1,1,0,0,33,126,,,,
SOFT DRINKS,Coke- diet,1 Bottle = 300 ml,No. of bottles,1,1,0,0,0,1,,,,
SOFT DRINKS,Fanta/Mirinda,1 Bottle = 300 ml,No. of bottles,1,1,,,,141,,,,
SOFT DRINKS,Limca,1 Bottle = 300 ml,No. of bottles,1,1,,,,150,,,,
SOFT DRINKS,Pepsi,1 Bottle = 300 ml,No. of bottles,1,1,,,,131,,,,
SOFT DRINKS,Pepsi- can,1 can = 330 ml,No. of cans,1,1,,,,144,,,,
SOFT DRINKS,Sprite,1 Bottle = 300 ml,No. of bottles,1,1,,,35,144,,,,
JUICES,Appy,1 tetra pack = 200 ml,No. of packs,1,1,1,0.4,33,134,,,,
JUICES,Frooti,1 tetra pack = 200 ml,No. of packs,1,1,,,32,130,,,,
JUICES,Real - Guava Juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,30,120,,,,
JUICES,Real - Orange Juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,26,112,,,,
JUICES,Real Activ- Orange carrot juice,1 tetra pack = 200 ml,No. of packs,1,1,0,0,24,96,,,,
JUICES,Real Activ-Apple juice,1 tetra pack = 200 ml,No. of packs,1,1,1,0,22,88,,,,
JUICES,Real cranberry juice,1 glass = 200 ml,No. of glass,1,200,0.2,0,30,120,,20,0.6,
JUICES,Real-Mixed fruit juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,26,112,,,,
JUICES,Real-Sweet lime juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,28,112,,,,
JUICES,Tropicana juice- Apple,1 tetra pack = 200 ml,No. of packs,1,1,0.8,0,22,94,,,,
JUICES,Tropicana juice- Guava Nectar,1 tetra pack = 200 ml,No. of packs,1,1,0,0,36,150,,,,
JUICES,Tropicana Juice-Mix fruit,1 tetra pack = 200 ml,No. of packs,1,1,0,0,27.4,112,,,,
JUICES,Tropicana Juice-Orange,1 tetra pack = 200 ml,No. of packs,1,1,2,0,22,100,,,,
BEVERAGES,Amul kool lassi,1 tetra pack = 200 ml,No. of packs,1,1,4,4.2,26,158,,148,,
BEVERAGES,Amul Lassi(sweet),1 tetra pack = 200 ml,No. of packs,1,1,4.5,6,20,150,,224,,
BEVERAGES,Amul masti spiced buttermillkk,1 tetra pack = 200 ml,No. of packs,1,1,4,3.4,4,62,,150,,
BEVERAGES,Buttermilk(salted) ,1 glass = 200 ml,No. of glass,1,1,3,4,3,60,,149,,
BEVERAGES,Coconut water,1 glass = 200 ml,No. of glass,1,1,3,0,9,48,,48,,
BEVERAGES,Gatorade,1 glass = 200 ml,No. of glass,1,1,0,0,7.2,48,,,,
BEVERAGES,lipton ice tea green tea,1 pet bottle =350 ml,No. of bottles,1,350,0,0,0,112,,,,
BEVERAGES,Milkshake with fruit,1 glass = 200 ml,No. of glass,1,1,5,7,23,186,,224,,
BEVERAGES,Red Bull,1 glass = 200 ml,No. of glass,1,200,0,0,22,90,,,,
BEVERAGES,Sweetened lime water,1 glass = 200 ml,No. of glass,1,1,0,0,10,42,,223,,
BEVERAGES,Tang orange,1 glass = 200 ml,No. of glass,1,1,0,0,23.5,97,,,,
BEVERAGES,Tonic water,,ml,150,150,,,,54,,,,
FAST FOOD,Domino's Cheese-burst pizza,6-inch,No. of pizza,1,1,21,22,35,422,,,,
FAST FOOD,"Domino's Deluxe (12 "")",1 slice,No. of slice,1,1,7,12,16,196,,,,
FAST FOOD,Domino's Garlic bread, 1 slice,No. of slice,1,1,4.7,3.6,16,117,,,,
FAST FOOD,Domino's Pan pizza,6-inch,No. of pizza,1,1,23,28,68,598,,,,
FAST FOOD,"Domino's Thin-crust Margerita (10"")",1 slice,No. of slice,1,1,6,3,28,160,,,,
FAST FOOD,KFC Popcorn Chicken,1 serving,no. of servings,1,1,22,26,18,400,,,,
FAST FOOD,KFC Potato wedges,100 gms,gms,1,1,4,13,33,260,,,,
FAST FOOD,KFC Zinger Burger,1,no. of burgers,1,1,24,18.5,41,446,,,,
FAST FOOD,Maggi Masala noodles,1 medium pack = 80 gms,No. of packets,1,80,7.4,11.4,49.28,330,,,,
FAST FOOD,Maggi Veg Multigrainz noodles,1 medium pack = 80 gms,No. of packets,1,80,7.6,11.1,51.2,336,3.8,99.2,,
FAST FOOD,Maggi Vegetable  atta noodles,1 medium pack = 80 gms,No. of packets,1,80,8.2,10.7,51.04,342,4.2,,,
FAST FOOD,Mc Donald's French Fries,Regular,No. of regular packs,1,1,4.5,15.5,41,319,,,,
FAST FOOD,Mc Spicy Chicken wrap,1,No. of wraps,1,1,22,23,48,488,,,,
FAST FOOD,McAloo Tikki Burger,1,No. of burgers,1,1,8.2,13.6,46,337,,,,
FAST FOOD,McChicken Burger,1,No. of burgers,1,1,15.3,21.4,41,416,,,,
FAST FOOD,McChicken Nuggets,4 pcs,No. of pcs,1,1,2.7,3,3,49,,,,
FAST FOOD,McSpicy Paneer Wrap,1,No. of wraps,1,1,26,47,53,740,,,,
FAST FOOD,McVeggie Burger,1,No. of burgers,1,1,11.9,23.9,51,465,,,,
